biosample_id	analysis_id	individual_id	platform_id	platform_label	analysis_operation_id	analysis_operation_label
pgxbs-kftvgif9	pgxcsfs-kftvgif9	pgxind-kftx28eq	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgifa	pgxcsfs-kftvgifa	pgxind-kftx28es	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgifc	pgxcsfs-kftvgifc	pgxind-kftx28eu	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgif0	pgxcsfs-kftvgif0	pgxind-kftx28eh	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgig1	pgxcsfs-kftvgig1	pgxind-kftx28fo	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgig4	pgxcsfs-kftvgig4	pgxind-kftx28fs	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgig7	pgxcsfs-kftvgig7	pgxind-kftx28fw	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgigb	pgxcsfs-kftvgigb	pgxind-kftx28g0	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgicz	pgxcsfs-kftvgicz	pgxind-kftx28c1	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgicw	pgxcsfs-kftvgicw	pgxind-kftx28bx	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgid1	pgxcsfs-kftvgid1	pgxind-kftx28c3	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgid5	pgxcsfs-kftvgid5	pgxind-kftx28c7	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
pgxbs-kftvgicy	pgxcsfs-kftvgicy	pgxind-kftx28bz	NCIT:C16437	Chromosome Banding	NCIT:C16437	Chromosome Banding
